sku_category.skuseq,sku_category.status,sku_category.unit,sku_category.cate,sku_category.fst_sales_dy
1774396,ACTIVE,Kitchen,Tableware,20160204
1774636,ACTIVE,Kitchen,Kitchen Accessories,20160205
1785676,ACTIVE,Kitchen,Kitchen Accessories,20160408
1789276,ACTIVE,Kitchen,Kitchen Accessories,20160507
1799116,ACTIVE,Kitchen,Kitchen Accessories,20160804
1799356,ACTIVE,Kitchen,Tools & Gadgets,20160426
1809676,ACTIVE,Kitchen,Kitchen Accessories,20160211
1810876,ACTIVE,Kitchen,Kitchen Accessories,20160329
1812796,ACTIVE,Kitchen,Tableware,20160307
1816636,ACTIVE,Kitchen,Kitchen Accessories,20160223
1817116,ACTIVE,Kitchen,Food Storage,20160715
1817596,ACTIVE,Kitchen,Tools & Gadgets,20160323
1832476,ACTIVE,Kitchen,Tableware,20160611
1835117,ACTIVE,Kitchen,Tableware,20161203
1835357,OTHER,Kitchen,Kitchen Accessories,20160307
1838717,ACTIVE,Kitchen,Food Storage,20160222
1849757,ACTIVE,Kitchen,Tableware,20160417
1850477,ACTIVE,Kitchen,Tools & Gadgets,20160705
1854797,OTHER,Kitchen,Outdoor Kitchen,20160311
1855037,ACTIVE,Kitchen,Kitchen Accessories,20160502
1862717,ACTIVE,Kitchen,Kitchen Accessories,20160929
1867997,ACTIVE,Kitchen,Tableware,20160524
1870157,ACTIVE,Kitchen,Tableware,20160229
1871837,ACTIVE,Kitchen,Food Storage,20160418
1903758,ACTIVE,Kitchen,Tools & Gadgets,20160706
1912398,ACTIVE,Kitchen,Cookware,20160322
1917198,ACTIVE,Kitchen,Outdoor Kitchen,20160521
1918878,ACTIVE,Kitchen,Kitchen Accessories,20160401
1919118,ACTIVE,Kitchen,Kitchen Accessories,20160420
1919838,ACTIVE,Kitchen,Cookware,20160707
1921038,ACTIVE,Kitchen,Kitchen Accessories,20160324
1925358,ACTIVE,Kitchen,Kitchen Accessories,20160323
1925838,ACTIVE,Kitchen,Tools & Gadgets,20160711
1933038,ACTIVE,Kitchen,Food Storage,20160503
1940718,ACTIVE,Kitchen,Tableware,20160622
1945278,ACTIVE,Kitchen,Tableware,20161010
1945998,ACTIVE,Kitchen,Tableware,20161013
1952718,ACTIVE,Kitchen,Tableware,20160517
1952958,ACTIVE,Kitchen,Tableware,20160414
1957998,ACTIVE,Kitchen,Tableware,20160718
1960158,ACTIVE,Kitchen,Tableware,20160921
1961838,ACTIVE,Kitchen,Kitchen Accessories,20160420
1963998,OTHER,Kitchen,Cookware,20160421
1965679,ACTIVE,Kitchen,Tableware,20161215
1967119,ACTIVE,Kitchen,Tableware,20160808
1967359,ACTIVE,Kitchen,Tableware,20161101
1969039,ACTIVE,Kitchen,Tableware,20160911
1989439,ACTIVE,Kitchen,Food Storage,20160501
2000479,ACTIVE,Kitchen,Tableware,20160425
2013919,ACTIVE,Kitchen,Kitchen Accessories,20160413
2015839,ACTIVE,Kitchen,Kitchen Accessories,20160704
2016559,ACTIVE,Kitchen,Tools & Gadgets,20161010
2022319,ACTIVE,Kitchen,Kitchen Accessories,20160425
2022799,ACTIVE,Kitchen,Tableware,20160706
2026879,ACTIVE,Kitchen,Kitchen Accessories,20160516
2035520,ACTIVE,Kitchen,Tableware,20160622
2053760,ACTIVE,Kitchen,Tableware,20160430
2054480,ACTIVE,Kitchen,Kitchen Accessories,20160819
2057600,ACTIVE,Kitchen,Kitchen Accessories,20160505
2059040,ACTIVE,Kitchen,Food Storage,20160416
2060480,ACTIVE,Kitchen,Kitchen Accessories,20160429
2062400,ACTIVE,Kitchen,Kitchen Accessories,20160428
2069600,ACTIVE,Kitchen,Tools & Gadgets,20161117
2070560,ACTIVE,Kitchen,Kitchen Accessories,20160603
2072720,ACTIVE,Kitchen,Kitchen Accessories,20160906
2082320,ACTIVE,Kitchen,Tableware,20160522
2084480,ACTIVE,Kitchen,Tableware,20160826
2086400,ACTIVE,Kitchen,Cookware,20160516
2093120,ACTIVE,Kitchen,Tableware,20160507
2093360,ACTIVE,Kitchen,Kitchen Accessories,20160605
2096721,ACTIVE,Kitchen,Tableware,20160607
2099121,ACTIVE,Kitchen,Food Storage,20160507
2100081,ACTIVE,Kitchen,Tableware,20160713
2101521,ACTIVE,Kitchen,Kitchen Accessories,20161030
2102241,ACTIVE,Kitchen,Food Storage,20160516
2113761,ACTIVE,Kitchen,Tableware,20160810
2114241,ACTIVE,Kitchen,Kitchen Accessories,20160824
2114961,ACTIVE,Kitchen,Tableware,20160518
2117601,ACTIVE,Kitchen,Food Storage,20160517
2118081,ACTIVE,Kitchen,Tools & Gadgets,20160522
2121921,ACTIVE,Kitchen,Kitchen Accessories,20161122
2124561,ACTIVE,Kitchen,Tools & Gadgets,20160520
2128641,ACTIVE,Kitchen,Tableware,20160606
2129121,ACTIVE,Kitchen,Kitchen Accessories,20160607
2130561,ACTIVE,Kitchen,Tableware,20160526
2133921,ACTIVE,Kitchen,Kitchen Accessories,20160707
2137521,ACTIVE,Kitchen,Tools & Gadgets,20160613
2139681,ACTIVE,Kitchen,Tableware,20160802
2140401,ACTIVE,Kitchen,Tableware,20160812
2143041,ACTIVE,Kitchen,Kitchen Accessories,20160720
2143521,ACTIVE,Kitchen,Food Storage,20160602
2143761,ACTIVE,Kitchen,Tools & Gadgets,20160610
2147841,ACTIVE,Kitchen,Tableware,20160604
2148801,ACTIVE,Kitchen,Cookware,20161024
2150721,ACTIVE,Kitchen,Food Storage,20160611
2156961,ACTIVE,Kitchen,Food Storage,20160804
2157201,ACTIVE,Kitchen,Food Storage,20160916
2160561,ACTIVE,Kitchen,Food Storage,20160823
2163202,ACTIVE,Kitchen,Tableware,20160628
